ID State,State,ID Year,Year,Population,Slug State
04000US01,Alabama,2013,2013,4799277,alabama
04000US02,Alaska,2013,2013,720316,alaska
04000US04,Arizona,2013,2013,6479703,arizona
04000US05,Arkansas,2013,2013,2933369,arkansas
04000US06,California,2013,2013,37659181,california
04000US08,Colorado,2013,2013,5119329,colorado
04000US09,Connecticut,2013,2013,3583561,connecticut
04000US10,Delaware,2013,2013,908446,delaware
04000US11,District of Columbia,2013,2013,619371,district-of-columbia
04000US12,Florida,2013,2013,19091156,florida
04000US13,Georgia,2013,2013,9810417,georgia
04000US15,Hawaii,2013,2013,1376298,hawaii
04000US16,Idaho,2013,2013,1583364,idaho
04000US17,Illinois,2013,2013,12848554,illinois
04000US18,Indiana,2013,2013,6514861,indiana
04000US19,Iowa,2013,2013,3062553,iowa
04000US20,Kansas,2013,2013,2868107,kansas
04000US21,Kentucky,2013,2013,4361333,kentucky
04000US22,Louisiana,2013,2013,4567968,louisiana
04000US23,Maine,2013,2013,1328320,maine
04000US24,Maryland,2013,2013,5834299,maryland
04000US25,Massachusetts,2013,2013,6605058,massachusetts
04000US26,Michigan,2013,2013,9886095,michigan
04000US27,Minnesota,2013,2013,5347740,minnesota
04000US28,Mississippi,2013,2013,2976872,mississippi
04000US29,Missouri,2013,2013,6007182,missouri
04000US30,Montana,2013,2013,998554,montana
04000US31,Nebraska,2013,2013,1841625,nebraska
04000US32,Nevada,2013,2013,2730066,nevada
04000US33,New Hampshire,2013,2013,1319171,new-hampshire
04000US34,New Jersey,2013,2013,8832406,new-jersey
04000US35,New Mexico,2013,2013,2069706,new-mexico
04000US36,New York,2013,2013,19487053,new-york
04000US37,North Carolina,2013,2013,9651380,north-carolina
04000US38,North Dakota,2013,2013,689781,north-dakota
04000US39,Ohio,2013,2013,11549590,ohio
04000US40,Oklahoma,2013,2013,3785742,oklahoma
04000US41,Oregon,2013,2013,3868721,oregon
04000US42,Pennsylvania,2013,2013,12731381,pennsylvania
04000US44,Rhode Island,2013,2013,1051695,rhode-island
04000US45,South Carolina,2013,2013,4679602,south-carolina
04000US46,South Dakota,2013,2013,825198,south-dakota
04000US47,Tennessee,2013,2013,6402387,tennessee
04000US48,Texas,2013,2013,25639373,texas
04000US49,Utah,2013,2013,2813673,utah
04000US50,Vermont,2013,2013,625904,vermont
04000US51,Virginia,2013,2013,8100653,virginia
04000US53,Washington,2013,2013,6819579,washington
04000US54,West Virginia,2013,2013,1853619,west-virginia
04000US55,Wisconsin,2013,2013,5706871,wisconsin
04000US56,Wyoming,2013,2013,570134,wyoming
04000US72,Puerto Rico,2013,2013,3682966,puerto-rico
